"Data Source","World Development Indicators",

"Last Updated Date","2016-10-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Central Europe and the Baltics","CEB","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8865092340169","","","","5.64250868175653","6.91014844300733","6.61331334704595","6.68849916985985","6.59869950693232","6.22395908081183","5.93916079164284","5.84232149531576","5.606976886168","5.33403292957019","5.19885423312628","5.30955704473437","5.15071399543488","5.16569965979327","4.65421336420007","4.37362022152599","4.20517675331872","4.12922096554832","4.15506191880703","4.5065874964834","6.52018180697098","","",
"Switzerland","CHE","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.47421008239797","6.83888255550202","5.80189192127868","5.67255940604591","5.72169619699384","5.20228344502358","4.93578713020484","4.7471349456975","4.42876684093166","4.39155306266483","5.83065594879424","5.36017679725144","5.08453160502033","4.91288533166886","4.82018470176544","4.60610290478861","4.54949482032358","4.71554914947903","4.49846522068783","4.27442076200792","4.33093487950359","4.22533829200561","4.27895273299492","","","",
"Channel Islands","CHI","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9477288085914","18.6856354177726","18.5187366040936","16.0179931774396","15.3247006837897","15.7779356848041","16.0910712839682","16.4563395365089","15.3973194933988","15.5918484722023","14.9549643775609","14.4420331937525","13.3505066723127","13.19755153578","12.5993638657233","12.357531543968","13.8137122237258","13.9848497461084","14.951999395268","13.9735942314192","13.6331352577504","10.1878555619553","10.5046957794976","10.8295015273252","10.1166707019016","10.0042862181874","9.41448972748013","","",
"China","CHN","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.26823888","17.88322379","11.62554943","16.08314389","","","","","","","","",
"Cote d'Ivoire","CIV","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.73500039317449","10.5737770329583","9.8778385670389","10.8531946277463","10.56827473426","9.86327541942803","11.8772904740233","10.4542905521285","10.1468358086802","9.91665169208313","10.1293109613927","11.5950493632497","","",
"Cameroon","CMR","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0735565299348","9.52012120064388","10.1982014086869","10.4979939156122","11.7150734473367","11.7875410654136","","","12.002445893863","12.0300432082096","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2965976331361","11.6366366366366","","","","","","","","8.23887841972774","8.34905518070687","13.2479396773745","8.68293895200892","6.68749490659853","8.09295489090493","9.45934203233473","10.7691702112387","","13.5860868341921","","","","","","",
"Colombia","COL","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.81357313006","17.0104379460138","17.9038443206805","","","12.5405595598665","","","","","15.2115932189707","15.7175596453817","14.3160920927789","12.7023322210168","12.6073886093913","11.6800543839567","9.63356511049916","","",
"Comoros","COM","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4093759839442","2.12933177178804","2.11322335740476","2.62177373616846","2.16101042141185","","","","","","","",
"Costa Rica","CRI","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Caribbean small states","CSS","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
